,ALTCOIN
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,1
2013-03-24,0
2013-03-31,0
2013-04-07,1
2013-04-14,1
2013-04-21,0
2013-04-28,2
2013-05-05,3
2013-05-12,2
2013-05-19,1
2013-05-26,1
2013-06-02,1
2013-06-09,1
2013-06-16,1
2013-06-23,1
2013-06-30,1
2013-07-07,1
2013-07-14,1
2013-07-21,1
2013-07-28,2
2013-08-04,1
2013-08-11,1
2013-08-18,2
2013-08-25,1
2013-09-01,1
2013-09-08,1
2013-09-15,1
2013-09-22,1
2013-09-29,2
2013-10-06,1
2013-10-13,2
2013-10-20,2
2013-10-27,2
2013-11-03,4
2013-11-10,4
2013-11-17,8
2013-11-24,19
2013-12-01,27
2013-12-08,23
2013-12-15,20
2013-12-22,19
2013-12-29,20
2014-01-05,18
2014-01-12,20
2014-01-19,23
2014-01-26,24
2014-02-02,23
2014-02-09,24
2014-02-16,21
2014-02-23,21
2014-03-02,27
2014-03-09,20
2014-03-16,17
2014-03-23,16
2014-03-30,14
2014-04-06,13
2014-04-13,11
2014-04-20,13
2014-04-27,13
2014-05-04,10
2014-05-11,10
2014-05-18,12
2014-05-25,15
2014-06-01,14
2014-06-08,10
2014-06-15,10
2014-06-22,8
2014-06-29,11
2014-07-06,11
2014-07-13,12
2014-07-20,9
2014-07-27,10
2014-08-03,11
2014-08-10,13
2014-08-17,11
2014-08-24,9
2014-08-31,8
2014-09-07,10
2014-09-14,7
2014-09-21,8
2014-09-28,6
2014-10-05,9
2014-10-12,8
2014-10-19,8
2014-10-26,8
2014-11-02,5
2014-11-09,7
2014-11-16,6
2014-11-23,6
2014-11-30,7
2014-12-07,3
2014-12-14,6
2014-12-21,6
2014-12-28,6
2015-01-04,8
2015-01-11,6
2015-01-18,6
2015-01-25,6
2015-02-01,4
2015-02-08,6
2015-02-15,4
2015-02-22,5
2015-03-01,5
2015-03-08,5
2015-03-15,5
2015-03-22,5
2015-03-29,5
2015-04-05,5
2015-04-12,5
2015-04-19,4
2015-04-26,4
2015-05-03,6
2015-05-10,3
2015-05-17,5
2015-05-24,5
2015-05-31,5
2015-06-07,4
2015-06-14,3
2015-06-21,4
2015-06-28,4
2015-07-05,5
2015-07-12,5
2015-07-19,5
2015-07-26,4
2015-08-02,4
2015-08-09,5
2015-08-16,7
2015-08-23,6
2015-08-30,4
2015-09-06,7
2015-09-13,5
2015-09-20,6
2015-09-27,7
2015-10-04,6
2015-10-11,5
2015-10-18,5
2015-10-25,4
2015-11-01,6
2015-11-08,6
2015-11-15,5
2015-11-22,5
2015-11-29,5
2015-12-06,5
2015-12-13,6
2015-12-20,6
2015-12-27,7
2016-01-03,6
2016-01-10,8
2016-01-17,12
2016-01-24,12
2016-01-31,13
2016-02-07,15
2016-02-14,12
2016-02-21,12
2016-02-28,19
2016-03-06,20
2016-03-13,22
2016-03-20,21
2016-03-27,21
2016-04-03,32
2016-04-10,25
2016-04-17,25
2016-04-24,30
2016-05-01,33
2016-05-08,35
2016-05-15,31
2016-05-22,30
2016-05-29,32
2016-06-05,30
2016-06-12,29
2016-06-19,29
2016-06-26,23
2016-07-03,22
2016-07-10,21
2016-07-17,20
2016-07-24,19
2016-07-31,23
2016-08-07,15
2016-08-14,20
2016-08-21,18
2016-08-28,17
2016-09-04,19
2016-09-11,16
2016-09-18,19
2016-09-25,15
2016-10-02,15
2016-10-09,21
2016-10-16,15
2016-10-23,18
2016-10-30,16
2016-11-06,14
2016-11-13,15
2016-11-20,13
2016-11-27,12
2016-12-04,9
2016-12-11,12
2016-12-18,13
2016-12-25,14
2017-01-01,16
2017-01-08,14
2017-01-15,15
2017-01-22,12
2017-01-29,15
2017-02-05,16
2017-02-12,13
2017-02-19,15
2017-02-26,18
2017-03-05,17
2017-03-12,24
2017-03-19,25
2017-03-26,30
2017-04-02,27
2017-04-09,26
2017-04-16,27
2017-04-23,26
2017-04-30,41
2017-05-07,53
2017-05-14,50
2017-05-21,86
2017-05-28,74
2017-06-04,88
2017-06-11,91
2017-06-18,87
2017-06-25,79
2017-07-02,67
2017-07-09,69
2017-07-16,64
2017-07-23,59
2017-07-30,70
2017-08-06,84
2017-08-13,100
2017-08-20,93
2017-08-27,97
2017-09-03,90
2017-09-10,76
2017-09-17,68
2017-09-24,64
2017-10-01,61
