,Bitcoin
2012-10-14,2
2012-10-21,2
2012-10-28,2
2012-11-04,2
2012-11-11,2
2012-11-18,2
2012-11-25,3
2012-12-02,2
2012-12-09,3
2012-12-16,2
2012-12-23,2
2012-12-30,2
2013-01-06,3
2013-01-13,2
2013-01-20,3
2013-01-27,3
2013-02-03,3
2013-02-10,4
2013-02-17,4
2013-02-24,5
2013-03-03,6
2013-03-10,7
2013-03-17,11
2013-03-24,17
2013-03-31,27
2013-04-07,52
2013-04-14,27
2013-04-21,17
2013-04-28,15
2013-05-05,12
2013-05-12,12
2013-05-19,10
2013-05-26,10
2013-06-02,8
2013-06-09,8
2013-06-16,7
2013-06-23,8
2013-06-30,10
2013-07-07,7
2013-07-14,6
2013-07-21,7
2013-07-28,7
2013-08-04,7
2013-08-11,8
2013-08-18,9
2013-08-25,7
2013-09-01,6
2013-09-08,6
2013-09-15,6
2013-09-22,6
2013-09-29,11
2013-10-06,8
2013-10-13,8
2013-10-20,10
2013-10-27,23
2013-11-03,23
2013-11-10,24
2013-11-17,55
2013-11-24,66
2013-12-01,65
2013-12-08,46
2013-12-15,49
2013-12-22,32
2013-12-29,27
2014-01-05,32
2014-01-12,30
2014-01-19,31
2014-01-26,30
2014-02-02,26
2014-02-09,33
2014-02-16,28
2014-02-23,49
2014-03-02,41
2014-03-09,22
2014-03-16,19
2014-03-23,20
2014-03-30,17
2014-04-06,16
2014-04-13,15
2014-04-20,13
2014-04-27,12
2014-05-04,12
2014-05-11,11
2014-05-18,12
2014-05-25,14
2014-06-01,13
2014-06-08,13
2014-06-15,12
2014-06-22,10
2014-06-29,11
2014-07-06,11
2014-07-13,11
2014-07-20,11
2014-07-27,10
2014-08-03,10
2014-08-10,13
2014-08-17,12
2014-08-24,10
2014-08-31,12
2014-09-07,12
2014-09-14,11
2014-09-21,11
2014-09-28,11
2014-10-05,13
2014-10-12,11
2014-10-19,10
2014-10-26,10
2014-11-02,10
2014-11-09,12
2014-11-16,11
2014-11-23,10
2014-11-30,10
2014-12-07,11
2014-12-14,11
2014-12-21,12
2014-12-28,10
2015-01-04,12
2015-01-11,14
2015-01-18,11
2015-01-25,12
2015-02-01,11
2015-02-08,11
2015-02-15,12
2015-02-22,10
2015-03-01,11
2015-03-08,11
2015-03-15,10
2015-03-22,10
2015-03-29,10
2015-04-05,10
2015-04-12,9
2015-04-19,9
2015-04-26,9
2015-05-03,8
2015-05-10,9
2015-05-17,9
2015-05-24,9
2015-05-31,9
2015-06-07,8
2015-06-14,11
2015-06-21,9
2015-06-28,11
2015-07-05,12
2015-07-12,11
2015-07-19,10
2015-07-26,10
2015-08-02,10
2015-08-09,9
2015-08-16,11
2015-08-23,11
2015-08-30,9
2015-09-06,9
2015-09-13,9
2015-09-20,9
2015-09-27,9
2015-10-04,9
2015-10-11,9
2015-10-18,10
2015-10-25,12
2015-11-01,19
2015-11-08,13
2015-11-15,12
2015-11-22,11
2015-11-29,11
2015-12-06,18
2015-12-13,14
2015-12-20,12
2015-12-27,12
2016-01-03,12
2016-01-10,13
2016-01-17,14
2016-01-24,12
2016-01-31,11
2016-02-07,11
2016-02-14,13
2016-02-21,12
2016-02-28,12
2016-03-06,11
2016-03-13,11
2016-03-20,11
2016-03-27,11
2016-04-03,11
2016-04-10,11
2016-04-17,11
2016-04-24,12
2016-05-01,19
2016-05-08,13
2016-05-15,12
2016-05-22,12
2016-05-29,16
2016-06-05,14
2016-06-12,21
2016-06-19,21
2016-06-26,16
2016-07-03,16
2016-07-10,14
2016-07-17,12
2016-07-24,12
2016-07-31,16
2016-08-07,12
2016-08-14,11
2016-08-21,12
2016-08-28,11
2016-09-04,12
2016-09-11,12
2016-09-18,12
2016-09-25,12
2016-10-02,12
2016-10-09,13
2016-10-16,12
2016-10-23,14
2016-10-30,16
2016-11-06,16
2016-11-13,15
2016-11-20,15
2016-11-27,16
2016-12-04,15
2016-12-11,15
2016-12-18,19
2016-12-25,22
2017-01-01,34
2017-01-08,26
2017-01-15,21
2017-01-22,19
2017-01-29,20
2017-02-05,22
2017-02-12,20
2017-02-19,24
2017-02-26,28
2017-03-05,31
2017-03-12,27
2017-03-19,27
2017-03-26,23
2017-04-02,22
2017-04-09,22
2017-04-16,22
2017-04-23,24
2017-04-30,33
2017-05-07,46
2017-05-14,54
2017-05-21,92
2017-05-28,59
2017-06-04,58
2017-06-11,63
2017-06-18,52
2017-06-25,53
2017-07-02,43
2017-07-09,49
2017-07-16,56
2017-07-23,52
2017-07-30,72
2017-08-06,69
2017-08-13,95
2017-08-20,76
2017-08-27,82
2017-09-03,87
2017-09-10,100
2017-09-17,75
2017-09-24,60
2017-10-01,60
