,Cryptocoin
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,1
2012-12-09,0
2012-12-16,1
2012-12-23,0
2012-12-30,1
2013-01-06,0
2013-01-13,1
2013-01-20,1
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,1
2013-02-24,1
2013-03-03,0
2013-03-10,0
2013-03-17,1
2013-03-24,2
2013-03-31,4
2013-04-07,6
2013-04-14,8
2013-04-21,1
2013-04-28,5
2013-05-05,7
2013-05-12,8
2013-05-19,6
2013-05-26,4
2013-06-02,4
2013-06-09,8
2013-06-16,4
2013-06-23,4
2013-06-30,4
2013-07-07,6
2013-07-14,6
2013-07-21,4
2013-07-28,2
2013-08-04,6
2013-08-11,6
2013-08-18,7
2013-08-25,5
2013-09-01,3
2013-09-08,2
2013-09-15,4
2013-09-22,4
2013-09-29,4
2013-10-06,6
2013-10-13,4
2013-10-20,7
2013-10-27,5
2013-11-03,7
2013-11-10,9
2013-11-17,17
2013-11-24,37
2013-12-01,52
2013-12-08,50
2013-12-15,48
2013-12-22,54
2013-12-29,54
2014-01-05,40
2014-01-12,41
2014-01-19,49
2014-01-26,48
2014-02-02,46
2014-02-09,47
2014-02-16,46
2014-02-23,41
2014-03-02,40
2014-03-09,35
2014-03-16,30
2014-03-23,34
2014-03-30,26
2014-04-06,21
2014-04-13,20
2014-04-20,20
2014-04-27,20
2014-05-04,17
2014-05-11,16
2014-05-18,21
2014-05-25,18
2014-06-01,21
2014-06-08,16
2014-06-15,19
2014-06-22,16
2014-06-29,17
2014-07-06,11
2014-07-13,10
2014-07-20,12
2014-07-27,17
2014-08-03,13
2014-08-10,12
2014-08-17,13
2014-08-24,10
2014-08-31,12
2014-09-07,16
2014-09-14,10
2014-09-21,10
2014-09-28,6
2014-10-05,10
2014-10-12,8
2014-10-19,9
2014-10-26,6
2014-11-02,6
2014-11-09,7
2014-11-16,7
2014-11-23,7
2014-11-30,7
2014-12-07,5
2014-12-14,9
2014-12-21,8
2014-12-28,6
2015-01-04,12
2015-01-11,5
2015-01-18,6
2015-01-25,6
2015-02-01,4
2015-02-08,7
2015-02-15,8
2015-02-22,6
2015-03-01,21
2015-03-08,12
2015-03-15,7
2015-03-22,7
2015-03-29,7
2015-04-05,7
2015-04-12,8
2015-04-19,6
2015-04-26,4
2015-05-03,4
2015-05-10,9
2015-05-17,4
2015-05-24,4
2015-05-31,5
2015-06-07,5
2015-06-14,6
2015-06-21,4
2015-06-28,6
2015-07-05,5
2015-07-12,8
2015-07-19,5
2015-07-26,4
2015-08-02,5
2015-08-09,5
2015-08-16,4
2015-08-23,4
2015-08-30,4
2015-09-06,3
2015-09-13,6
2015-09-20,5
2015-09-27,5
2015-10-04,4
2015-10-11,3
2015-10-18,4
2015-10-25,5
2015-11-01,5
2015-11-08,5
2015-11-15,5
2015-11-22,5
2015-11-29,6
2015-12-06,7
2015-12-13,4
2015-12-20,8
2015-12-27,6
2016-01-03,3
2016-01-10,4
2016-01-17,6
2016-01-24,7
2016-01-31,3
2016-02-07,6
2016-02-14,6
2016-02-21,7
2016-02-28,10
2016-03-06,7
2016-03-13,9
2016-03-20,7
2016-03-27,7
2016-04-03,6
2016-04-10,7
2016-04-17,5
2016-04-24,4
2016-05-01,5
2016-05-08,7
2016-05-15,9
2016-05-22,7
2016-05-29,11
2016-06-05,7
2016-06-12,8
2016-06-19,9
2016-06-26,8
2016-07-03,8
2016-07-10,8
2016-07-17,8
2016-07-24,9
2016-07-31,7
2016-08-07,10
2016-08-14,4
2016-08-21,7
2016-08-28,9
2016-09-04,12
2016-09-11,7
2016-09-18,5
2016-09-25,10
2016-10-02,11
2016-10-09,9
2016-10-16,8
2016-10-23,10
2016-10-30,10
2016-11-06,13
2016-11-13,13
2016-11-20,12
2016-11-27,14
2016-12-04,9
2016-12-11,13
2016-12-18,14
2016-12-25,21
2017-01-01,18
2017-01-08,25
2017-01-15,14
2017-01-22,14
2017-01-29,11
2017-02-05,12
2017-02-12,8
2017-02-19,7
2017-02-26,12
2017-03-05,12
2017-03-12,13
2017-03-19,19
2017-03-26,17
2017-04-02,14
2017-04-09,15
2017-04-16,19
2017-04-23,17
2017-04-30,29
2017-05-07,36
2017-05-14,36
2017-05-21,71
2017-05-28,62
2017-06-04,80
2017-06-11,100
2017-06-18,76
2017-06-25,67
2017-07-02,57
2017-07-09,51
2017-07-16,46
2017-07-23,36
2017-07-30,42
2017-08-06,51
2017-08-13,66
2017-08-20,69
2017-08-27,71
2017-09-03,70
2017-09-10,70
2017-09-17,52
2017-09-24,60
2017-10-01,54
