,Bitcoin
2012-09-30,3
2012-10-07,1
2012-10-14,1
2012-10-21,2
2012-10-28,1
2012-11-04,1
2012-11-11,2
2012-11-18,1
2012-11-25,2
2012-12-02,1
2012-12-09,3
2012-12-16,1
2012-12-23,2
2012-12-30,2
2013-01-06,1
2013-01-13,1
2013-01-20,2
2013-01-27,2
2013-02-03,2
2013-02-10,2
2013-02-17,2
2013-02-24,3
2013-03-03,3
2013-03-10,4
2013-03-17,3
2013-03-24,8
2013-03-31,11
2013-04-07,17
2013-04-14,11
2013-04-21,11
2013-04-28,7
2013-05-05,5
2013-05-12,7
2013-05-19,3
2013-05-26,6
2013-06-02,5
2013-06-09,4
2013-06-16,4
2013-06-23,2
2013-06-30,6
2013-07-07,6
2013-07-14,3
2013-07-21,4
2013-07-28,4
2013-08-04,3
2013-08-11,3
2013-08-18,4
2013-08-25,4
2013-09-01,5
2013-09-08,2
2013-09-15,4
2013-09-22,4
2013-09-29,8
2013-10-06,2
2013-10-13,4
2013-10-20,5
2013-10-27,12
2013-11-03,17
2013-11-10,12
2013-11-17,42
2013-11-24,59
2013-12-01,100
2013-12-08,55
2013-12-15,38
2013-12-22,19
2013-12-29,18
2014-01-05,23
2014-01-12,16
2014-01-19,18
2014-01-26,17
2014-02-02,17
2014-02-09,20
2014-02-16,18
2014-02-23,20
2014-03-02,29
2014-03-09,17
2014-03-16,14
2014-03-23,14
2014-03-30,10
2014-04-06,11
2014-04-13,11
2014-04-20,8
2014-04-27,10
2014-05-04,11
2014-05-11,8
2014-05-18,11
2014-05-25,9
2014-06-01,8
2014-06-08,13
2014-06-15,13
2014-06-22,10
2014-06-29,9
2014-07-06,8
2014-07-13,15
2014-07-20,13
2014-07-27,10
2014-08-03,7
2014-08-10,10
2014-08-17,9
2014-08-24,7
2014-08-31,9
2014-09-07,5
2014-09-14,10
2014-09-21,13
2014-09-28,7
2014-10-05,11
2014-10-12,6
2014-10-19,11
2014-10-26,5
2014-11-02,8
2014-11-09,8
2014-11-16,7
2014-11-23,12
2014-11-30,8
2014-12-07,12
2014-12-14,11
2014-12-21,8
2014-12-28,7
2015-01-04,9
2015-01-11,7
2015-01-18,9
2015-01-25,10
2015-02-01,7
2015-02-08,8
2015-02-15,5
2015-02-22,9
2015-03-01,8
2015-03-08,12
2015-03-15,10
2015-03-22,8
2015-03-29,8
2015-04-05,8
2015-04-12,9
2015-04-19,9
2015-04-26,7
2015-05-03,10
2015-05-10,7
2015-05-17,7
2015-05-24,7
2015-05-31,6
2015-06-07,5
2015-06-14,6
2015-06-21,6
2015-06-28,7
2015-07-05,6
2015-07-12,6
2015-07-19,6
2015-07-26,6
2015-08-02,7
2015-08-09,5
2015-08-16,10
2015-08-23,9
2015-08-30,7
2015-09-06,8
2015-09-13,8
2015-09-20,7
2015-09-27,5
2015-10-04,8
2015-10-11,5
2015-10-18,6
2015-10-25,9
2015-11-01,14
2015-11-08,9
2015-11-15,9
2015-11-22,9
2015-11-29,11
2015-12-06,9
2015-12-13,8
2015-12-20,10
2015-12-27,9
2016-01-03,8
2016-01-10,11
2016-01-17,10
2016-01-24,8
2016-01-31,12
2016-02-07,11
2016-02-14,9
2016-02-21,12
2016-02-28,12
2016-03-06,12
2016-03-13,9
2016-03-20,9
2016-03-27,9
2016-04-03,7
2016-04-10,10
2016-04-17,7
2016-04-24,9
2016-05-01,15
2016-05-08,10
2016-05-15,7
2016-05-22,8
2016-05-29,13
2016-06-05,12
2016-06-12,15
2016-06-19,18
2016-06-26,12
2016-07-03,11
2016-07-10,9
2016-07-17,7
2016-07-24,9
2016-07-31,8
2016-08-07,10
2016-08-14,8
2016-08-21,11
2016-08-28,11
2016-09-04,9
2016-09-11,9
2016-09-18,11
2016-09-25,10
2016-10-02,8
2016-10-09,7
2016-10-16,9
2016-10-23,10
2016-10-30,11
2016-11-06,14
2016-11-13,13
2016-11-20,14
2016-11-27,14
2016-12-04,12
2016-12-11,12
2016-12-18,16
2016-12-25,14
2017-01-01,26
2017-01-08,15
2017-01-15,16
2017-01-22,11
2017-01-29,15
2017-02-05,23
2017-02-12,15
2017-02-19,17
2017-02-26,20
2017-03-05,29
2017-03-12,20
2017-03-19,25
2017-03-26,23
2017-04-02,16
2017-04-09,18
2017-04-16,17
2017-04-23,20
2017-04-30,24
2017-05-07,33
2017-05-14,49
2017-05-21,93
2017-05-28,59
2017-06-04,49
2017-06-11,57
2017-06-18,46
2017-06-25,51
2017-07-02,37
2017-07-09,42
2017-07-16,48
2017-07-23,36
2017-07-30,53
2017-08-06,44
2017-08-13,58
2017-08-20,51
2017-08-27,52
2017-09-03,55
2017-09-10,67
2017-09-17,50
2017-09-24,38
