No,Name,Generated Coin Name,Open Date (GMT),Close Date (GMT),Investment Round,Start Bonus,Accepted coin,ETH,BTC,Fiat,Other Alt,Not found yet(0),ETH Only(1),BTC Only(2),FIAT Only(3),ETH & BTC(4),ETH& OTHER(except BTC)(5),BTC & Other (except ETH)(6),SCAM(7),Check,CCY_Group,Amount,Amount_Group
1,Nimiq,NET,6/28/2017,7/12/2017,1st ,40%,"ETH and BTC, LTC",O,O,X,O,,,,,ETH & BTC,,,,ETH & BTC,4,14.53,Large
2,DAO.Casino,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,,,,,,,,,SCAM,7,SCAM,SCAM
3,SkinCoin,SKIN,6/21/2017,7/21/2017,1st ,0%,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,3.32,Mid
4,Pillar,PLR,7/15/2017,7/17/2017,,0%,USD,X,X,O,X,,,,FIAT Only,,,,,FIAT Only,3,18.53,Large
5,GIlgam,GGS,6/20/2017,7/20/2017,1st ,0%,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,0.22,Small
6,AntShares,ANT,8/8/2016,9/7/2016,2nd,20%,BTC,X,O,X,X,,,BTC Only,,,,,,BTC Only,2,3.5,Mid
7,FIRSTBLOOD,FirstBlood App Token (1SŦ),9/9/2016,9/9/2016,1st ,70%/ 170st per ETH,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,5.5,Large
8,ICONOMI,ICN,8/25/2016,9/26/2016,1st ,15%,USD,X,X,O,X,,,,FIAT Only,,,,,FIAT Only,3,10.5,Large
9,Blockfreight,#N/A,01/09/2016,1/10/2016,1st ,0%,Not found yet,X,X,O,X, ,,,FIAT Only,,,,,FIAT Only,3,Not found yet,Check
10,deClOUDs,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,SCAM,,,,,,,,,SCAM,7,SCAM,SCAM
11,Lykke ,LKK,9/11/2016,10/9/2016,1st (더 있었는데 1st ICO를 조사함),0%,"BTC, ETH, and major fiat currencies",O,O,O,X,,,,,ETH & BTC,,,,ETH & BTC,4,1.15,Mid
12,DECENT,DCT,9/11/2016,11/6/2016,1st ,50%,BTC/ETH,O,O,X,X,,,,,ETH & BTC,,,,ETH & BTC,4,4.13,Mid
13,Golem,GNT,11/11/2016,11/11/2016,1st ,0%,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,8.6,Large
14,Komodo,KMD,10/15/2016,11/20/2016,1st ,25%,?BTC or swap BTCD,X,O,X,X,,,BTC Only,,,,,,BTC Only,2,1.98,Mid
15,Inchain(refund),#N/A,27/10/2016,23/11/2016,,20%,Not found yet,O,O,X,X,Not found yet,,,,,,,,Not found yet,0,Not found yet,Check
16,Arcade City,ARC,11/1/2016,11/29/2016,,125%,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,0.64,Small
17,Beyond the Void,Nexium,11/1/2016,11/30/2016,,0%,ETH,O,X,X,X,,ETH Only,,,,,,,ETH Only,1,0.33,Small
18,Incent,INCNT,01/10/2016,30/11/2016,,40%,BTC,X,O,X,X,,,BTC Only,,,,,,BTC Only,2,1,Mid
19,Mass Network,#N/A,#N/A,#N/A,,10%,BTC,X,O,X,X,,,BTC Only,,,,,,BTC Only,2,0.3,Small
20,Golos,GOLOS,11/1/2016,12/4/2016,,25%,BTC,X,O,X,X,,,BTC Only,,,,,,BTC Only,2,0.45,Small
