No,Company/Project Name,Name,Open Date (GMT),Close Date (GMT),Website,Whitepaper,Asset,ICO Size ($m),Explanation,RaisedCoin,No.. Of coin,Completion (checking!!),Start Bonus,Start Date,End Date,Launching service?.,Base,Homepage,CEO,Source,Source2,White Paper Download,Category,Technical Details,사업내용,USD raised amount,Check the amount,Diff
1,Nimiq,Nimiq,6/28/2017,7/12/2017,https://nimiq.com/,https://icobazaar.com/static/8943c304a27c457957350ecaf4d97c08/NimiqAFrictionlessPaymentProtocolNativetotheWeb.pdf,NET,14.53,A Next-Generation Blockchain Protocol,BTC," 4,992 ",29%,40%,2017-06-28,2017-07-26,TBA,Own,https://nimiq.com,Robin Linus,ICOtracker,Coindesk,OK,Blockchain-platform,WebRTC and WebSocket connections,브라우저 기반의 블록체인과 그 생태계," 14,484,600 ","-45,400 ",-0.31%
2,DAO.Casino,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,DAO.Casino,BTC," 5,320 ",32%,0%,2017-06-29,2017-07-26,TBA,Ethereum,https://dao.casino/,?Konstantin Lomashuk,ICOtracker,,OK,,,,,#N/A,#N/A
3,SkinCoin,SkinCoin,6/21/2017,7/21/2017,https://skincoin.org/,https://skincoin.org/whitepaper.pdf,SKIN,3.32,"Ethereum token for instant trading CS:GO, Dota 2 skins",BTC," 1,214 ",40%,20%,2017-06-21,2017-07-21,TBA,Ethereum,https://skincoin.org,Alexey Zaharov,ICOtracker,Coindesk,OK,Cryptocurrency,Ethereum,즉각적인 트레이딩(in-game 아이템 구매와 e-sport베팅)을 위한 이더리움 토큰," 2,884,510 ","-435,490 ",-15.10%
4,Pillar,Pillar,7/15/2017,7/17/2017,https://pillarproject.io/,0,PLR,18.53,Multi-chain open source wallet,BTC, - ,24%,0%,2017-07-15,2017-07-21,TBA,Ethereum,https://pillarproject.io/,David Siegel,ICOtracker,Coindesk,OK,Service,Ethereum ERC20 Token,오픈 소스 월렛," 19,987,971 "," 1,457,971 ",7.29%
5,GIlgam,Gilgam,6/20/2017,7/20/2017,https://ico.gilgam.es/ico,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,GGS,0.22,E-Sport platform where gamers can make profit from their skills,BTC, 86 ,0%,0%,2017-06-20,2017-07-20,TBA,Ethereum,https://ico.gilgam.es/,ZSOLT R?TH?TI,ICOtracker,Coindesk,OK,Gambling,Ethereum,유저들이 그들만의 실력으로 이익을 볼 수 있는 e-sport 플랫폼," 225,996 "," 5,996 ",2.65%
6,AntShares,Antshares,8/8/2016,9/7/2016,https://www.antshares.org/,http://docs.antshares.org/zh-cn/white-paper.html,ANT,3.5,Digital Assets for everyone,BTC," 6,130 ",76%,20%,2016-06-08,2016-07-09,2016-10-20,Own,https://www.antshare.org,DA Hongfei,ICOtracker,Coindesk,OK,Blockchain-platform,"AntShares Virtual Machine (AVM), point-to-point network, Byzantine Fault Tolerance, digital certificates, smart contracts, superconducting transactions, cross-chain interoperability protocols",현실에 있는 물리적 자산을 디지털화하는 분산 장부 프로토콜," 3,834,400 "," 334,400 ",8.72%
7,FIRSTBLOOD,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,A Decentralized eSports Platform Based on Smart Contract,BTC," 9,075 ",35%,70%,2016-09-26,2016-11-20,2016-01-20,Ethereum,https://firstblood.io,Joe Zhou,ICOtracker,,OK,Gambling,-,e-스포츠 베팅 플랫폼," 5,500,000 ",#N/A,#N/A
8,ICONOMI,Iconomi,8/25/2016,9/26/2016,https://www.iconomi.net/,0,ICN,10.5,Open Fund Management Platform,BTC," 6,901 ",64%,15%,2016-08-25,2016-09-29,2016-11-15,Ethereum,https://iconomi.net,Tim Mitja Zagar,ICOtracker,Coindesk,OK,Financial-Service,Ethereum,펀드 관리 플랫폼," 10,600,000 "," 100,000 ",0.94%
9,Blockfreight,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Ledger and Network for global freight,BTC, - ,3%,0%,2016-09-01,2016-01-10,TBA,Counterparty,http://blockfreight.com,Julian Smith,ICOtracker,,OK,Logistics,Ethereum,글로벌 화물 수송을 위한 네트워크, - ,#N/A,#N/A
10,deClOUDs,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,SCAM Alert,,,,,,,,Own,http://www.declouds.com,Stars Nikolaev,ICOtracker,,,,,,,#N/A,#N/A
11,Lykke (1st round),Lykke (1st round),9/11/2016,10/9/2016,https://www.lykke.com/,0,LKK,1.15,A Global Market Place on the blockchain,BTC," 1,142 ",36%,0%,2016-09-12,2016-10-11,TBA,Own,https://lykke.com,Richard Olsen,ICOtracker,Coindesk,OK,Exchange,-,블록체인기반의 글로벌 마켓 플레이스," 1,146,800 ","-3,200 ",-0.28%
12,DECENT,Decent,9/11/2016,11/6/2016,https://decent.ch/,https://wiki.decent.ch/doku.php,DCT,4.13,Decentralized content Distribution Platform,BTC," 5,881 ",61%,50%,2016-09-11,2016-11-06,2017-03-10,Own,http://decent.ch,Matej Boda,ICOtracker,Coindesk,OK,Media,"Independent blockchain (Bitcoin, Peercoin and Bittorrent, using a PoS-modified consensus algorithm)",블록체인 콘텐츠 분산 플랫폼," 4,126,300 ","-3,700 ",-0.09%
13,Golem,Golem,11/11/2016,11/11/2016,https://golem.network/,https://golem.network/doc/Golemwhitepaper.pdf,GNT,8.6,Worldwide Supercomputer,BTC," 12,000 ",44%,0%,2016-11-11,2016-11-11,TBA,Ethereum,https://golem.network,Julian Zawistowki,ICOtracker,Coindesk,OK,Service,Ethereum,분산된 월드와이드 슈퍼 컴퓨터," 8,596,000 ","-4,000 ",-0.05%
14,Komodo,Komodo,10/15/2016,11/20/2016,https://komodoplatform.com/,https://komodoplatform.com/downloads/Komodo_dPoW_Whitepaper_v1.pdf,KMD,1.98,Protection your Privacy with Bitcoin's hashrate,BTC," 2,639 ",65%,25%,2016-10-15,2016-11-20,TBA,Own,https://komodoplatform.com,jl777,ICOtracker,Coindesk,OK,Cryptocurrency,"dPoW (delayed Proof of Work), Based on bitcoin dark and Zcash principles
",암호화폐 안전과 익명성을 위한 새로운 표준," 1,983,000 "," 3,000 ",0.15%
15,Inchain(refund),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Decentralized insurance platform for the crypto economy,BTC, 156 ,37%,20%,2016-10-27,2016-11-23,TBA,Ethereum,http://ico.inchain.io,Dmitry Lazarichev,ICOtracker,,OK,Insurance,Ethereum,이더리움 스마트 계약 기반의 보험 플랫폼," 166,700 ",#N/A,#N/A
16,Arcade City,Arcade City,11/1/2016,11/29/2016,https://arcade.city/,https://docs.google.com/document/d/1Fm39dHCJmAAZ-P5C-qOc4P2f0Vx__84AhDD98LPNLVY,ARC,0.64,the ridesharing app running on tokens,BTC, 728 ,20%,125%,2016-11-01,2016-11-28,TBA,Ethereum,https://arcade.city,Bernd Lapp,Blockchain연구회,Coindesk,OK,Platform,-,분산 P2P 경제 플랫폼," 632,000 ","-8,000 ",-1.27%
17,Beyond the Void,Beyond the Void,11/1/2016,11/30/2016,https://www.beyond-the-void.net/,https://www.beyond-the-void.net/wiki/tag/ico/,Nexium,0.33,Real Time Strategy Game,BTC, 429 ,36%,0%,2016-11-01,2016-11-30,2017-06-01,Ethereum,http://beyond-the-void.net,Maxence Burgel,ICOtracker,Coindesk,no white paper,Gaming,Ethereum,블록체인 기반의 실시간 전략 게임," 333,000 "," 3,000 ",0.90%
18,Incent,Incent,9/30/2016,11/30/2016,https://www.incentloyalty.com/,0,INCNT,1,Universal Merchant-Backed Loyalty Platform,BTC," 1,024 ",55%,40%,2016-10-01,2016-11-30,TBA,Waves,http://incent.bitscancom,Rob Wilson,ICOtracker,Coindesk,OK,Financial-Service,"Waves, PoS",로얄티 플랫폼," 1,000,000 ", - ,0.00%
19,Mass Network,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Blockchain-based solution to online advertising,BTC, 312 ,18%,10%,2016-09-01,2016-12-01,TBA,Color Coin,https://mass.network,Alezander A Kuzmin,ICOtracker,,날짜 확인 필요,Advertising,,블록체인 기반의 온라인 광고 솔루션,,#N/A,#N/A
20,Golos,Golos,11/1/2016,12/4/2016,https://golos.io/,https://wiki.golos.io/1-introduction/golos_whitepaper.html,GOLOS,0.45,Social Media Blockchain Platform for russian-speaking community,BTC, 600 ,32%,25%,2016-11-01,2016-12-03,2016-11-18,Graphene,https://golos.io/ico,Dima Starodubcev,ICOtracker,Coindesk,OK,Media,"Graphene II, which is used in BitShares, combined algorithm PoS and PoW",블록체인 기반의 소셜미디어 플랫폼(for russian-speaking community)," 462,000 "," 12,000 ",2.60%
21,ARK,Ark,11/7/2016,12/11/2016,https://ark.io/,https://ark.io/whitepaper/,ARK,1,A Platform for Consumer Adoption,BTC, 193 ,35%,30%,2016-11-07,2016-12-11,2017-02-01,Own,,Francois-Xavier Thoorens,ICOtracker,Coindesk,OK,Cryptocurrency,the Delegated Proof of Stake consensus algorithm,소비자 타게팅을 위한 플랫폼," 998,000 ","-2,000 ",-0.20%
22,vDice,vDice,11/15/2016,12/15/2016,https://www.vdice.io/,https://blog.vdice.io/what-is-vdice-ether-gambling/,vSlice ,1.65,Ethereum Blockchain Gambling,BTC," 2,513 ",3%,30%,2016-11-15,2016-12-13,2016-11-15,Ethereum,http://vdice.io,Jason Colby,ICOtracker,Coindesk,OK,Gambling,Ethereum,이더리움 기반의 분산 갬블링 게임," 1,647,000 ","-3,000 ",-0.18%
23,eGaas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Electronic Government as a Service,BTC, 83 ,0%,50%,2016-11-15,2016-12-15,2016-11-15,Own,http://egaas.org/#/,Oleg Strelenko,ICOtracker,,OK,Electronic government as a service,its own blockchain using a DPoS consensus,"경제적, 대중적이고 사회적인 활동을 조직하기 위한 블록체인 플랫폼"," 64,000 ",#N/A,#N/A
24,The Spectreproject,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Scam Alert,BTC, - ,0%,20%,2016-11-20,2016-12-18,TBA,,https://spectreproject.io,Mandica,ICOtracker,,No White Paper,,,,,#N/A,#N/A
25,BlockCDN,BlockCDN,12/10/2016,12/26/2016,http://www.blockcdn.org/,http://www.blockcdn.org/file/BlockCDN1.2.pdf,BCDN,0.3,BlockCDN is a decentralized CDN(Content delivery Network) trading market,BTC, 432 ,58%,35%,2016-11-28,2016-12-26,TBA,Ethereum,http://www.blockcdn.org,Tony Long,ICOtracker,Coindesk,OK,Service,Ethereum,분산된 CDN 트레이딩 마켓," 300,000 ", - ,0.00%
26,PassLfix,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Send parcels like emails, buy items without frontiers, travel cheaply and usefully",BTC, 56 ,27%,0%,2016-12-02,2016-12-31,TBA,Ethereum,http://pacifics.org,Frederic V,ICOtracker,,OK,Service,Ethereum,이더리움 기반의 스마트 계약 소포 배달," 46,000 ",#N/A,#N/A
27,Branche,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Makes financial services more affordable, flexible, and accessible than ever before",BTC, - ,0%,15%,2016-12-05,2017-01-02,TBA,Ethereum,http://www.branche.io,John From,ICOtracker,,Web에서 찾을 수 없음,Lending-Service,Ethereum,cheque cashing과 payday loans을 제공하는 서비스 플랫폼," 6,300 ",#N/A,#N/A
28,Wings,Wings,11/18/2016,1/6/2017,https://www.wings.ai/#!/home/discover,https://wingsfoundation.ch/?whitepaper=1,WINGS,2.07,"A decentralized platform to creat, join and manage DAOs",BTC," 2,010 ",89%,30%,2016-11-18,2017-01-06,TBA,Rootstock,https://wings.ai,Sebastian Stupurac,ICOtracker,Coindesk,OK,Crowdfunding platform,Ethereum and Bitcoin via Rootstock,"DAO를 만들고, 관리하기 위한 분산 플랫폼"," 2,074,000 "," 4,000 ",0.19%
