Symbol,Name,Year,EPS,BPS
A005930,삼성전자,2001,16704,115835
A005930,삼성전자,2002,39655,155211
A005930,삼성전자,2003,33765,187330
A005930,삼성전자,2004,62951,226882
A005930,삼성전자,2005,44907,268187
A005930,삼성전자,2006,46531,309862
A005930,삼성전자,2007,43642,356887
A005930,삼성전자,2008,32480,393949
A005930,삼성전자,2009,36490,441768
A005930,삼성전자,2010,92863,548698
A005930,삼성전자,2011,78660,614990
A005930,삼성전자,2012,136278,731458
A005930,삼성전자,2013,175282,892045
A005930,삼성전자,2014,135673,1002811
A005930,삼성전자,2015,109883,1095140
A005930,삼성전자,2016,136760,1217019
A005930,삼성전자,2017,,
A000660,SK하이닉스,2001,-6625,6172
A000660,SK하이닉스,2002,-339,869
A000660,SK하이닉스,2003,-4492,6185
A000660,SK하이닉스,2004,3805,10027
A000660,SK하이닉스,2005,4070,13909
A000660,SK하이닉스,2006,4436,18590
A000660,SK하이닉스,2007,754,19677
A000660,SK하이닉스,2008,-10273,11075
A000660,SK하이닉스,2009,-620,9247
A000660,SK하이닉스,2010,4720,13836
A000660,SK하이닉스,2011,-96,13300
A000660,SK하이닉스,2012,-233,14032
A000660,SK하이닉스,2013,4045,18399
A000660,SK하이닉스,2014,5766,24775
A000660,SK하이닉스,2015,5937,30438
A000660,SK하이닉스,2016,4057,34051
A000660,SK하이닉스,2017,,
A005380,현대차,2001,4072,33011
A005380,현대차,2002,5078,37053
A005380,현대차,2003,6213,42918
A005380,현대차,2004,6148,46419
A005380,현대차,2005,8274,55544
A005380,현대차,2006,5368,58901
A005380,현대차,2007,5909,66390
A005380,현대차,2008,5078,71361
A005380,현대차,2009,10374,79771
A005380,현대차,2010,12177,102812
A005380,현대차,2011,26818,133957
A005380,현대차,2012,30008,158218
A005380,현대차,2013,29921,185863
A005380,현대차,2014,25735,206420
A005380,현대차,2015,22479,222828
A005380,현대차,2016,18938,241103
A005380,현대차,2017,,
A051910,LG화학,2001,1812,17410
A051910,LG화학,2002,4724,21449
A051910,LG화학,2003,4955,24905
A051910,LG화학,2004,7340,30068
A051910,LG화학,2005,5477,33681
A051910,LG화학,2006,4362,36127
A051910,LG화학,2007,9166,46504
A051910,LG화학,2008,11950,58459
A051910,LG화학,2009,18123,77067
A051910,LG화학,2010,29205,104451
A051910,LG화학,2011,28930,129485
A051910,LG화학,2012,20223,144043
A051910,LG화학,2013,17131,157137
A051910,LG화학,2014,11745,164485
A051910,LG화학,2015,15602,176007
A051910,LG화학,2016,17336,188807
A051910,LG화학,2017,,
A005490,POSCO,2001,8579,121615
A005490,POSCO,2002,11806,134802
A005490,POSCO,2003,21909,155072
A005490,POSCO,2004,43180,192575
A005490,POSCO,2005,46027,234912
A005490,POSCO,2006,36779,269104
A005490,POSCO,2007,42202,312194
A005490,POSCO,2008,51005,347365
A005490,POSCO,2009,36385,382564
A005490,POSCO,2010,43405,440740
A005490,POSCO,2011,41843,467361
A005490,POSCO,2012,28239,479953
A005490,POSCO,2013,15787,500364
A005490,POSCO,2014,7181,494591
A005490,POSCO,2015,2072,490547
A005490,POSCO,2016,15637,503596
A005490,POSCO,2017,,
A028260,삼성물산,2001,23009,354594
A028260,삼성물산,2002,58872,489275
A028260,삼성물산,2003,45983,517787
A028260,삼성물산,2004,42398,728725
A028260,삼성물산,2005,37098,662801
A028260,삼성물산,2006,42861,714956
A028260,삼성물산,2007,46096,781225
A028260,삼성물산,2008,69436,853822
A028260,삼성물산,2009,59898,926350
A028260,삼성물산,2010,70556,1728853
A028260,삼성물산,2011,118398,1509701
A028260,삼성물산,2012,56358,1721592
A028260,삼성물산,2013,18086,1855672
A028260,삼성물산,2014,3632,44266
A028260,삼성물산,2015,17749,93863
A028260,삼성물산,2016,561,105657
A028260,삼성물산,2017,,
A032830,삼성생명,2001,31541,267734
A032830,삼성생명,2002,43056,291665
A032830,삼성생명,2003,16384,345962
A032830,삼성생명,2004,28790,412578
A032830,삼성생명,2005,31312,412494
A032830,삼성생명,2006,25731,437719
A032830,삼성생명,2007,35729,468209
A032830,삼성생명,2008,5651,371526
A032830,삼성생명,2009,4530,60664
A032830,삼성생명,2010,11288,77169
A032830,삼성생명,2011,4742,91694
A032830,삼성생명,2012,5034,111125
A032830,삼성생명,2013,2935,99245
A032830,삼성생명,2014,6687,116426
A032830,삼성생명,2015,6056,126071
A032830,삼성생명,2016,10271,143773
A032830,삼성생명,2017,,
A035420,NAVER,2001,551,7760
A035420,NAVER,2002,3989,14556
A035420,NAVER,2003,7414,21800
A035420,NAVER,2004,3533,15723
A035420,NAVER,2005,588,17121
A035420,NAVER,2006,3279,8524
A035420,NAVER,2007,5898,14733
A035420,NAVER,2008,7557,23652
A035420,NAVER,2009,8762,31842
A035420,NAVER,2010,9842,40744
A035420,NAVER,2011,9350,49703
A035420,NAVER,2012,11346,58637
A035420,NAVER,2013,45425,64165
A035420,NAVER,2014,13787,81551
A035420,NAVER,2015,15737,96527
A035420,NAVER,2016,22732,150192
A035420,NAVER,2017,,
A012330,현대모비스,2001,3081,11755
A012330,현대모비스,2002,4227,14924
A012330,현대모비스,2003,6479,21313
A012330,현대모비스,2004,8154,27359
A012330,현대모비스,2005,9232,35113
A012330,현대모비스,2006,8012,41489
A012330,현대모비스,2007,8956,49892
A012330,현대모비스,2008,12459,62980
A012330,현대모비스,2009,17455,82104
A012330,현대모비스,2010,16733,101174
A012330,현대모비스,2011,31054,142715
A012330,현대모비스,2012,36556,174861
A012330,현대모비스,2013,35149,207676
A012330,현대모비스,2014,35165,239187
A012330,현대모비스,2015,31387,266859
A012330,현대모비스,2016,31205,296189
A012330,현대모비스,2017,,
A207940,삼성바이오로직스,2001,,
A207940,삼성바이오로직스,2002,,
A207940,삼성바이오로직스,2003,,
A207940,삼성바이오로직스,2004,,
A207940,삼성바이오로직스,2005,,
A207940,삼성바이오로직스,2006,,
A207940,삼성바이오로직스,2007,,
A207940,삼성바이오로직스,2008,,
A207940,삼성바이오로직스,2009,,
A207940,삼성바이오로직스,2010,,
A207940,삼성바이오로직스,2011,-4008,47335
A207940,삼성바이오로직스,2012,-8089,41501
A207940,삼성바이오로직스,2013,-11422,30987
A207940,삼성바이오로직스,2014,-4800,30760
A207940,삼성바이오로직스,2015,77040,100652
A207940,삼성바이오로직스,2016,-3115,61700
A207940,삼성바이오로직스,2017,,
A015760,한국전력,2001,2778,51585
A015760,한국전력,2002,4780,56203
A015760,한국전력,2003,3618,59053
A015760,한국전력,2004,4496,63184
A015760,한국전력,2005,3821,65970
A015760,한국전력,2006,3227,68206
A015760,한국전력,2007,2427,69786
A015760,한국전력,2008,-4602,64967
A015760,한국전력,2009,-121,65199
A015760,한국전력,2010,-2304,76143
A015760,한국전력,2011,-5251,84135
A015760,한국전력,2012,-4933,78868
A015760,한국전력,2013,93,79446
A015760,한국전력,2014,4185,83496
A015760,한국전력,2015,20701,103798
A015760,한국전력,2016,10980,111725
A015760,한국전력,2017,,
